ID,Titulo,Descripcion,Epic,Tipo,Prioridad,Estimacion,Responsable,Estado,DoR,Entregable,Criterio_DoD
HU-01,Definir flujo de ramas y estructura base,Como equipo necesitamos un flujo de trabajo claro y ramas base para no mezclar cambios.,Gobierno del trabajo y decisiones,Historia,Alta,5,JhonCamiloSuazaSanchez,Ready,,"README.md; 01_ddl/; 02_dml/; 03_dcl/; 04_tcl/; 05_rollbacks/; changelog/; docker/; scripts/","DoD{Alcance{main}}] Raiz (README.md) y carpetas de estructura base (01_ddl a scripts) con su subestructura completa y vacia."
HU-02,Levantar PostgreSQL con Docker,Como desarrolladores necesitamos un ambiente portable para ejecutar la base.,Ambiente ejecutable,Historia,Alta,5,JhonCamiloSuazaSanchez,Ready,DoR{HU-01 en main},docker/docker-compose.yml,"DoD{Alcance{main}}] Contenedor postgres funcional en el puerto 5445."
HU-03,Configurar Liquibase y Changelogs,Como equipo tecnico necesitamos automatizar los cambios de base de datos.,Ambiente ejecutable,Historia,Alta,5,JhonCamiloSuazaSanchez,Ready,DoR{HU-02 en main},"liquibase.properties; changelog/","DoD{Alcance{main}}] Configuracion de persistencia lista para ejecutar cambios."
HU-04,Configurar exclusiones y variables base,Como equipo necesitamos evitar subir archivos basura o sensibles al repositorio.,Gobierno del trabajo y decisiones,Historia,Media,3,JhonCamiloSuazaSanchez,Ready,DoR{HU-01 en main},".gitignore; .env.example","DoD{Alcance{main}}] Entorno base configurado sin archivos temporales ni sensibles."
HU-05,Cargar DDL base (Esquemas y Tipos),Como responsables de infraestructura necesitamos la base inicial para las tablas.,Ambiente ejecutable,Historia,Alta,5,JhonCamiloSuazaSanchez,Ready,DoR{HU-04 en main},"01_ddl/00_extensions/; 01_ddl/01_schemas/; 01_ddl/02_types/","DoD{Alcance{main}}] Infraestructura basica de la base de datos creada."
HU-06,Modelar dominio de Configuracion,Como usuarios necesitamos persistir los datos maestros transversales.,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,DoR{HU-05 en main},01_ddl/03_tables/configuration/,"DoD{Alcance{main}}] Tablas de configuracion con auditoria y relaciones creadas."
HU-07,Modelar dominio de Seguridad,Como equipo de seguridad necesitamos gestionar accesos y usuarios.,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,DoR{HU-06 en main},01_ddl/03_tables/security/,"DoD{Alcance{main}}] Tablas de seguridad y usuarios implementadas."
HU-08,Modelar dominio de Distribucion,Como operacion necesitamos registrar sedes y habitaciones.,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,DoR{HU-07 en main},01_ddl/03_tables/distribution/,"DoD{Alcance{main}}] Tablas de sedes y habitaciones implementadas."
HU-09,Modelar dominio de Prestacion de Servicios,Como operacion necesitamos registrar reservas y estadias.,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,DoR{HU-08 en main},01_ddl/03_tables/service_delivery/,"DoD{Alcance{main}}] Tablas de reservas y estadias implementadas."
HU-10,Modelar dominio de Inventario,Como administracion necesitamos registrar productos y stock.,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,DoR{HU-09 en main},01_ddl/03_tables/inventory/,"DoD{Alcance{main}}] Tablas de productos y stock implementadas."
